GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ZXing zxing.org web app,com.google.zxing.web,ChartServlet,82,249,21,19,19,61,20,7,1,5
ZXing zxing.org web app,com.google.zxing.web,AbstractFilter,2,14,0,0,2,5,2,2,2,2
ZXing zxing.org web app,com.google.zxing.web,LRUMap,0,18,0,2,0,4,0,3,0,2
ZXing zxing.org web app,com.google.zxing.web,DecodeServlet,740,266,85,19,175,68,55,7,4,6
ZXing zxing.org web app,com.google.zxing.web,OutputUtils,0,75,0,8,0,15,0,6,0,2
ZXing zxing.org web app,com.google.zxing.web,DoSTracker,0,70,0,6,0,15,0,6,0,3
ZXing zxing.org web app,com.google.zxing.web,DecodeDoSFilter,0,3,0,0,0,1,0,1,0,1
ZXing zxing.org web app,com.google.zxing.web,ServletContextLogHandler,9,28,2,2,2,12,2,4,0,4
ZXing zxing.org web app,com.google.zxing.web,DoSFilter,17,139,9,15,2,37,8,9,0,5
ZXing zxing.org web app,com.google.zxing.web,HTTPSFilter,0,32,0,2,0,9,0,4,0,3
ZXing zxing.org web app,com.google.zxing.web,ChartDoSFilter,0,3,0,0,0,1,0,1,0,1
ZXing zxing.org web app,com.google.zxing.web,TimeoutFilter.new Callable() {...},0,24,0,0,0,3,0,2,0,2
ZXing zxing.org web app,com.google.zxing.web,TimeoutFilter,39,39,5,1,7,14,3,4,0,4
ZXing zxing.org web app,com.google.zxing.web,WelcomeFilter,0,17,0,0,0,3,0,2,0,2
ZXing zxing.org web app,com.google.zxing.web,ChartServletRequestParameters,0,39,0,0,0,14,0,7,0,7
ZXing zxing.org web app,com.google.zxing.web,DoSTracker.TrackerTask,80,100,7,5,12,26,4,4,0,2
